in:dy_4,in:dx_0,in:dy_0,out:Deflection,out:Mass,img
2,0.4,-1.2,0.057915,223.679035,dy_42_dx_00.4_dy_0-1.2.png
-2,1.2,-1.2,0.052836,139.762875,dy_4-2_dx_01.2_dy_0-1.2.png
-1.2,1.2,-1.2,0.069038,145.005497,dy_4-1.2_dx_01.2_dy_0-1.2.png
-0.4,1.2,-1.2,0.121486,155.853513,dy_4-0.4_dx_01.2_dy_0-1.2.png
0.4,1.2,-1.2,0.131545,173.188658,dy_40.4_dx_01.2_dy_0-1.2.png
1.2,1.2,-1.2,0.079613,196.929578,dy_41.2_dx_01.2_dy_0-1.2.png
2,1.2,-1.2,0.063361,225.108914,dy_42_dx_01.2_dy_0-1.2.png
-2,2,-1.2,0.084804,186.460608,dy_4-2_dx_02_dy_0-1.2.png
-1.2,2,-1.2,0.091633,184.24886,dy_4-1.2_dx_02_dy_0-1.2.png
-0.4,2,-1.2,0.188525,191.911877,dy_4-0.4_dx_02_dy_0-1.2.png
0.4,2,-1.2,0.196966,207.722592,dy_40.4_dx_02_dy_0-1.2.png
1.2,2,-1.2,0.09659,230.595999,dy_41.2_dx_02_dy_0-1.2.png
2,2,-1.2,0.072282,258.220762,dy_42_dx_02_dy_0-1.2.png
-2,-2,-0.4,0.093735,230.850586,dy_4-2_dx_0-2_dy_0-0.4.png
-1.2,-2,-0.4,0.14869,218.908005,dy_4-1.2_dx_0-2_dy_0-0.4.png
-0.4,-2,-0.4,0.423824,215.923342,dy_4-0.4_dx_0-2_dy_0-0.4.png
0.4,-2,-0.4,0.231256,223.241529,dy_40.4_dx_0-2_dy_0-0.4.png
1.2,-2,-0.4,0.088194,239.869094,dy_41.2_dx_0-2_dy_0-0.4.png
2,-2,-0.4,0.063563,262.946383,dy_42_dx_0-2_dy_0-0.4.png
-2,-1.2,-0.4,0.088728,189.82372,dy_4-2_dx_0-1.2_dy_0-0.4.png
-1.2,-1.2,-0.4,0.146346,177.477985,dy_4-1.2_dx_0-1.2_dy_0-0.4.png
-0.4,-1.2,-0.4,0.281608,175.623139,dy_4-0.4_dx_0-1.2_dy_0-0.4.png
0.4,-1.2,-0.4,0.155565,184.891822,dy_40.4_dx_0-1.2_dy_0-0.4.png
1.2,-1.2,-0.4,0.073541,203.52203,dy_41.2_dx_0-1.2_dy_0-0.4.png
2,-1.2,-0.4,0.056114,228.326886,dy_42_dx_0-1.2_dy_0-0.4.png
-2,-0.4,-0.4,0.071434,158.307791,dy_4-2_dx_0-0.4_dy_0-0.4.png
-1.2,-0.4,-0.4,0.137871,145.142472,dy_4-1.2_dx_0-0.4_dy_0-0.4.png
-0.4,-0.4,-0.4,0.160077,145.435783,dy_4-0.4_dx_0-0.4_dy_0-0.4.png
0.4,-0.4,-0.4,0.112008,157.619631,dy_40.4_dx_0-0.4_dy_0-0.4.png
1.2,-0.4,-0.4,0.066455,178.62771,dy_41.2_dx_0-0.4_dy_0-0.4.png
2,-0.4,-0.4,0.054024,205.177313,dy_42_dx_0-0.4_dy_0-0.4.png
-2,0.4,-0.4,0.048493,136.157343,dy_4-2_dx_00.4_dy_0-0.4.png
-1.2,0.4,-0.4,0.096257,120.660701,dy_4-1.2_dx_00.4_dy_0-0.4.png
-0.4,0.4,-0.4,0.106544,125.904348,dy_4-0.4_dx_00.4_dy_0-0.4.png
0.4,0.4,-0.4,0.107455,141.8157,dy_40.4_dx_00.4_dy_0-0.4.png
1.2,0.4,-0.4,0.070362,164.964057,dy_41.2_dx_00.4_dy_0-0.4.png
2,0.4,-0.4,0.057894,192.823949,dy_42_dx_00.4_dy_0-0.4.png
-2,1.2,-0.4,0.06299,136.412154,dy_4-2_dx_01.2_dy_0-0.4.png
-1.2,1.2,-0.4,0.079,118.009503,dy_4-1.2_dx_01.2_dy_0-0.4.png
-0.4,1.2,-0.4,0.149372,127.67562,dy_4-0.4_dx_01.2_dy_0-0.4.png
0.4,1.2,-0.4,0.158965,144.89476,dy_40.4_dx_01.2_dy_0-0.4.png
1.2,1.2,-0.4,0.087452,168.601028,dy_41.2_dx_01.2_dy_0-0.4.png
2,1.2,-0.4,0.067536,196.765443,dy_42_dx_01.2_dy_0-0.4.png
-2,2,-0.4,0.084086,180.732172,dy_4-2_dx_02_dy_0-0.4.png
-1.2,2,-0.4,0.125541,166.751992,dy_4-1.2_dx_02_dy_0-0.4.png
-0.4,2,-0.4,0.269478,168.96374,dy_4-0.4_dx_02_dy_0-0.4.png
0.4,2,-0.4,0.278285,182.99788,dy_40.4_dx_02_dy_0-0.4.png
1.2,2,-0.4,0.111414,205.179718,dy_41.2_dx_02_dy_0-0.4.png
2,2,-0.4,0.079628,232.47662,dy_42_dx_02_dy_0-0.4.png
-2,-2,0.4,0.088813,224.254791,dy_4-2_dx_0-2_dy_00.4.png
-1.2,-2,0.4,0.143219,207.994224,dy_4-1.2_dx_0-2_dy_00.4.png
-0.4,-2,0.4,0.794492,200.475139,dy_4-0.4_dx_0-2_dy_00.4.png
0.4,-2,0.4,0.38387,203.861599,dy_40.4_dx_0-2_dy_00.4.png
1.2,-2,0.4,0.099983,217.550909,dy_41.2_dx_0-2_dy_00.4.png
2,-2,0.4,0.069423,238.60197,dy_42_dx_0-2_dy_00.4.png
-2,-1.2,0.4,0.072721,179.934773,dy_4-2_dx_0-1.2_dy_00.4.png
-1.2,-1.2,0.4,0.13075,162.017023,dy_4-1.2_dx_0-1.2_dy_00.4.png
-0.4,-1.2,0.4,0.729635,154.094783,dy_4-0.4_dx_0-1.2_dy_00.4.png
0.4,-1.2,0.4,0.2646,158.61106,dy_40.4_dx_0-1.2_dy_00.4.png
1.2,-1.2,0.4,0.078404,174.250866,dy_41.2_dx_0-1.2_dy_00.4.png
2,-1.2,0.4,0.054125,197.30457,dy_42_dx_0-1.2_dy_00.4.png
-2,-0.4,0.4,0.048534,153.566391,dy_4-2_dx_0-0.4_dy_00.4.png
-1.2,-0.4,0.4,0.090303,132.832416,dy_4-1.2_dx_0-0.4_dy_00.4.png
-0.4,-0.4,0.4,0.576954,124.090593,dy_4-0.4_dx_0-0.4_dy_00.4.png
0.4,-0.4,0.4,0.196352,130.755027,dy_40.4_dx_0-0.4_dy_00.4.png
1.2,-0.4,0.4,0.079369,149.309998,dy_41.2_dx_0-0.4_dy_00.4.png
2,-0.4,0.4,0.059076,174.741573,dy_42_dx_0-0.4_dy_00.4.png
